Player: Roberto Rojas, Season: 
Player: Roberto Rojas, Season: Total
Player: Wolfgang Rolff, Season: 
Player: Wolfgang Rolff, Season: 
Player: Wolfgang Rolff, Season: Total
Player: Piet Romeijn, Season: 
Player: Ronaldinho, Season: Total
Player: Wayne Rooney, Season: Total
Player: Paolo Rossi, Season: Total
Player: Sebastiano Rossi, Season: Total
Player: Franz Roth, Season: Total
Player: Antonio Ruiz, Season: Total
Player: Karl-Heinz Rummenigge, Season: Total
Player: Ian Rush, Season: Total
Player: Refik Šabanadžović, Season: 
Player: Refik Šabanadžović, Season: 
Player: Refik Šabanadžović, Season: Total
Player: David Sadler, Season: 000?–1963
Player: David Sadler, Season: 
Player: David Sadler, Season: Total
Player: David Sadler, Season: 1962–?
Player: Willy Sagnol, Season: Total
Player: Louis Saha, Season: Total
Player: Míchel Salgado, Season: Total
Player: Hasan Salihamidžić, Season: Total
Player: Julio Salinas, Season: Total
Player: Matthias Sammer, Season: Total
Player: Walter Samuel, Season: Total
Player: César Sánchez, Season: 
Player: César Sánchez, Season: 
Player: César Sánchez, Season: Total
Player: Jaime Sánchez, Season: Total
Player: Víctor Sánchez, Season: Total
Player: Manolo Sanchís, Season: Total
Player: Manuel Sanchís, Season: Total
Player: José Santamaría, Season: 
Player: Santana, Season: 
Player: Santana, Season: 
Player: Davide Santon, Season: Total
Player: Fernando Sanz, Season: 
Player: Fernando Sanz, Season: Total
Player: Edwin van der Sar, Season: Total
Player: Franck Sauzée, Season: Total
Player: Dejan Savićević, Season: Height
Player: Dejan Savićević, Season: Position(s)
Player: Dejan Savićević, Season: Total
Player: Sávio, Season: Total
Player: Peter Schmeichel, Season: Total
Player: René Schneider, Season: 
Player: René Schneider, Season: 
Player: René Schneider, Season: 
Player: Karl-Heinz Schnellinger, Season: Total
Player: Paul Scholes, Season: Total
Player: Mehmet Scholl, Season: Total
Player: Bastian Schweinsteiger, Season: Total
Player: Gaetano Scirea, Season: Total
Player: Clarence Seedorf, Season: Total
Player: Fernando Serena, Season: 
Player: Fernando Serena, Season: Total
Player: Serginho, Season: Total
Player: Ricardo Serna, Season: 
Player: Ricardo Serna, Season: Total
Player: Ciriaco Sforza, Season: Total
Player: Teddy Sheringham, Season: Total
Player: Andriy Shevchenko, Season: Height
Player: Andriy Shevchenko, Season: Position(s)
Player: Andriy Shevchenko, Season: Total
Player: Peter Shilton, Season: Total
Player: Sonny Silooy, Season: 
Player: Sonny Silooy, Season: 
Player: Sonny Silooy, Season: Total
Player: Mário Silva, Season: Total
Player: Mikaël Silvestre, Season: Total
